step,k,mom_prob
0,-15.6818,1.38863e-19
0,-15.5769,1.29182e-19
0,-15.472,1.20298e-19
0,-15.3671,1.12078e-19
0,-15.2622,1.04431e-19
0,-15.1573,9.736449999999999e-20
0,-15.0524,9.086969999999999e-20
0,-14.9475,8.48482e-20
0,-14.8426,7.921069999999999e-20
0,-14.7377,7.397649999999999e-20
0,-14.6328,6.9152e-20
0,-14.5279,6.467029999999999e-20
0,-14.423,6.04649e-20
0,-14.3181,5.65284e-20
0,-14.2133,5.2894e-20
0,-14.1084,4.95178e-20
0,-14.0035,4.6325000000000003e-20
0,-13.8986,4.3328399999999996e-20
0,-13.7937,4.0554399999999994e-20
0,-13.6888,3.79727e-20
0,-13.5839,3.5523699999999994e-20
0,-13.479,3.3210299999999994e-20
0,-13.3741,3.1069e-20
0,-13.2692,2.9066299999999997e-20
0,-13.1643,2.71709e-20
0,-13.0594,2.5371e-20
0,-12.9545,2.3686099999999997e-20
0,-12.8496,2.2125299999999998e-20
0,-12.7447,2.06425e-20
0,-12.6398,1.9213699999999998e-20
0,-12.5349,1.7893099999999998e-20
0,-12.43,1.6662e-20
0,-12.3251,1.5491099999999998e-20
0,-12.2203,1.43652e-20
0,-12.1154,1.3314699999999999e-20
0,-12.0105,1.2341199999999999e-20
0,-11.9056,1.1417099999999999e-20
0,-11.8007,1.05285e-20
0,-11.6958,9.69757e-21
0,-11.5909,8.92897e-21
0,-11.486,8.206289999999999e-21
0,-11.3811,7.513769999999999e-21
0,-11.2762,6.86433e-21
0,-11.1713,6.2693999999999996e-21
0,-11.0664,5.7249199999999996e-21
0,-10.9615,5.2042899999999994e-21
0,-10.8566,4.7214199999999996e-21
0,-10.7517,4.2923499999999995e-21
0,-10.6468,3.90529e-21
0,-10.5419,3.54437e-21
0,-10.437,3.2247899999999997e-21
0,-10.3321,2.95887e-21
0,-10.2272,2.7360999999999998e-21
0,-10.1224,2.54522e-21
0,-10.0175,2.39958e-21
0,-9.91257,2.31141e-21
0,-9.80767,2.2742599999999998e-21
0,-9.70278,2.27397e-21
0,-9.59788,2.3311999999999997e-21
0,-9.49299,2.45782e-21
0,-9.38809,2.64516e-21
0,-9.2832,2.8799899999999997e-21
0,-9.1783,3.1916699999999997e-21
0,-9.07341,3.59033e-21
0,-8.96851,4.0617099999999995e-21
0,-8.86362,4.6070000000000004e-21
0,-8.75872,5.24935e-21
0,-8.65383,6.00961e-21
0,-8.54893,6.86822e-21
0,-8.44404,7.821379999999999e-21
0,-8.33914,8.91003e-21
0,-8.23425,1.0159e-20
0,-8.12935,1.15424e-20
0,-8.02446,1.3056399999999999e-20
0,-7.91956,1.4751e-20
0,-7.81467,1.66649e-20
0,-7.70977,1.8773399999999997e-20
0,-7.60488,2.1060399999999998e-20
0,-7.49998,2.3588599999999998e-20
0,-7.39509,2.64131e-20
0,-7.29019,2.9515e-20
0,-7.1853,3.28621e-20
0,-7.0804,3.6530599999999994e-20
0,-6.97551,4.06055e-20
0,-6.87061,4.5069299999999996e-20
0,-6.76572,4.9873299999999996e-20
0,-6.66082,5.509749999999999e-20
0,-6.55593,6.08744e-20
0,-6.45103,6.71877e-20
0,-6.34614,7.39671e-20
0,-6.24124,8.131449999999999e-20
0,-6.13635,8.939319999999999e-20
0,-6.03146,9.8194e-20
0,-5.92656,1.07666e-19
0,-5.82167,1.17868e-19
0,-5.71677,1.2902e-19
0,-5.61188,1.41195e-19
0,-5.50698,1.54266e-19
0,-5.40209,1.6830200000000001e-19
0,-5.29719,1.83597e-19
0,-5.1923,2.00256e-19
0,-5.0874,2.18151e-19
0,-4.98251,2.37326e-19
0,-4.87761,2.5814600000000003e-19
0,-4.77272,2.80803e-19
0,-4.66782,3.05167e-19
0,-4.56293,3.3124000000000004e-19
0,-4.45803,3.59463e-19
0,-4.35314,3.9016000000000003e-19
0,-4.24824,4.23228e-19
0,-4.14335,4.58632e-19
0,-4.03845,4.96856e-19
0,-3.93356,5.38416e-19
0,-3.82866,5.83305e-19
0,-3.72377,6.31443e-19
0,-3.61887,6.83366e-19
0,-3.51398,7.39852e-19
0,-3.40908,8.01014e-19
0,-3.30419,8.66776e-19
0,-3.19929,9.378040000000001e-19
0,-3.0944,1.0151200000000001e-18
0,-2.9895,1.09909e-18
0,-2.88461,1.18976e-18
0,-2.77971,1.2878700000000001e-18
0,-2.67482,1.3948500000000001e-18
0,-2.56992,1.51152e-18
0,-2.46503,1.6380400000000002e-18
0,-2.36013,1.7754e-18
0,-2.25524,1.9255600000000003e-18
0,-2.15034,2.09e-18
0,-2.04545,2.2693300000000003e-18
0,-1.94056,2.4648400000000003e-18
0,-1.83566,2.6792600000000003e-18
0,-1.73077,2.9151800000000002e-18
0,-1.62587,3.1739800000000003e-18
0,-1.52098,3.4575900000000003e-18
0,-1.41608,3.76994e-18
0,-1.31119,4.1153400000000005e-18
0,-1.20629,4.4966e-18
0,-1.1014,4.91694e-18
0,-0.996501,5.38227e-18
0,-0.891606,5.8995e-18
0,-0.786712,6.4742600000000006e-18
0,-0.681817,7.11229e-18
0,-0.576922,7.82273e-18
0,-0.472027,8.617180000000001e-18
0,-0.367132,9.506190000000001e-18
0,-0.262237,1.05003e-17
0,-0.157342,1.16149e-17
0,-0.0524474,1.28696e-17
0,0.0524474,1.42843e-17
0,0.157342,1.58791e-17
0,0.262237,1.7681e-17
0,0.367132,1.97249e-17
0,0.472027,2.20483e-17
0,0.576922,2.46912e-17
0,0.681817,2.77037e-17
0,0.786712,3.11501e-17
0,0.891606,3.51039e-17
0,0.996501,3.96465e-17
0,1.1014,4.48764e-17
0,1.20629,5.09191e-17
0,1.31119,5.79241e-17
0,1.41608,6.60624e-17
0,1.52098,7.55403e-17
0,1.62587,8.66185e-17
0,1.73077,9.96157e-17
0,1.83566,1.1491e-16
0,1.94056,1.32959e-16
0,2.04545,1.54344e-16
0,2.15034,1.79788e-16
0,2.25524,2.10176e-16
0,2.36013,2.46601e-16
0,2.46503,2.90454e-16
0,2.56992,3.43503e-16
0,2.67482,4.07977e-16
0,2.77971,4.8669e-16
0,2.88461,5.83274e-16
0,2.9895,7.02442e-16
0,3.0944,8.50288e-16
0,3.19929,1.03473e-15
0,3.30419,1.26618e-15
0,3.40908,1.55841e-15
0,3.51398,1.92975e-15
0,3.61887,2.4046e-15
0,3.72377,3.01567e-15
0,3.82866,3.80715e-15
0,3.93356,4.83884e-15
0,4.03845,6.19168e-15
0,4.14335,7.9746e-15
0,4.24824,1.03263e-14
0,4.35314,1.37637e-14
0,4.45803,1.99269e-14
0,4.56293,1.07547e-14
0,4.66782,6.67615e-12
0,4.77272,4.93136e-10
0,4.87761,2.49687e-08
0,4.98251,9.06843e-07
0,5.0874,2.3151e-05
0,5.1923,0.000415366
0,5.29719,0.00524096
0,5.40209,0.0465042
0,5.50698,0.290173
0,5.61188,1.27323
0,5.71677,3.92868
0,5.82167,8.52459
0,5.92656,13.0073
0,6.03146,13.9569
0,6.13635,10.5312
0,6.24124,5.588
0,6.34614,2.08507
0,6.45103,0.547108
0,6.55593,0.100952
0,6.66082,0.013099
0,6.76572,0.00119523
0,6.87061,7.6698e-05
0,6.97551,3.46033e-06
0,7.0804,1.09691e-07
0,7.1853,2.4617e-09
0,7.29019,3.95074e-11
0,7.39509,2.89473e-13
0,7.49998,1.2286e-14
0,7.60488,9.43863e-15
0,7.70977,6.40981e-15
0,7.81467,4.79339e-15
0,7.91956,3.60817e-15
0,8.02446,2.73403e-15
0,8.12935,2.08662e-15
0,8.23425,1.60406e-15
0,8.33914,1.24198e-15
0,8.44404,9.68429e-16
0,8.54893,7.60321e-16
0,8.65383,6.009e-16
0,8.75872,4.77959e-16
0,8.86362,3.82528e-16
0,8.96851,3.0797e-16
0,9.07341,2.49353e-16
0,9.1783,2.02994e-16
0,9.2832,1.66121e-16
0,9.38809,1.36631e-16
0,9.49299,1.12912e-16
0,9.59788,9.37392e-17
0,9.70278,7.81672e-17
0,9.80767,6.54599e-17
0,9.91257,5.50399e-17
0,10.0175,4.64573e-17
0,10.1224,3.93616e-17
0,10.2272,3.34708e-17
0,10.3321,2.856e-17
0,10.437,2.44501e-17
0,10.5419,2.09991e-17
0,10.6468,1.80921e-17
0,10.7517,1.56343e-17
0,10.8566,1.35484e-17
0,10.9615,1.17735e-17
0,11.0664,1.02596e-17
0,11.1713,8.963640000000001e-18
0,11.2762,7.850630000000001e-18
0,11.3811,6.8923700000000004e-18
0,11.486,6.0658600000000005e-18
0,11.5909,5.35094e-18
